Make_Model;R_Value;Weight_oz;Thickness_in;Weight_g;Thickness_cm;Type
Therm-a-Rest NeoAir XLite;4,2;12,0;2,5;340,2;6,4;Inflatable
Therm-a-Rest NeoAir XLite Womens;5,4;12,0;2,5;340,2;6,4;Inflatable
Therm-a-Rest NeoAir XTherm;6,9;15,0;2,5;425,2;6,4;Inflatable
Therm-a-Rest NeoAir XTherm Max;6,9;17,0;2,5;481,9;6,4;Inflatable
Therm-a-Rest NeoAir UberLite;2,3;8,8;2,5;249,5;6,4;Inflatable
Therm-a-Rest Basecamp;6,0;40,0;2,0;1134,0;5,1;Inflatable
Therm-a-Rest LuxuryMap;6,0;52,0;3,0;1474,2;7,6;Inflatable
Therm-a-Rest MondoKing 3D;7,0;70,0;4,3;1984,5;10,8;Inflatable
Therm-a-Rest NeoAir Camper Duo;2,5;73,0;3,0;2069,5;7,6;Inflatable
Therm-a-Rest NeoAir Venture;2,2;19,0;2,0;538,6;5,1;Inflatable
Therm-a-Rest Original Z Lite;1,7;14,0;0,8;396,9;1,9;Foam
Therm-a-Rest ProLite;2,4;18,0;1,0;510,3;2,5;Self-Inflating
Therm-a-Rest ProLite Apex;3,8;22,0;2,0;623,7;5,1;Self-Inflating
Therm-a-Rest ProLite Plus;3,2;23,0;1,5;652,0;3,8;Self-Inflating
Therm-a-Rest ProLite Plus Womens;3,9;22,0;1,5;623,7;3,8;Self-Inflating
Therm-a-Rest ProLite Womens;2,7;18,0;1,0;510,3;2,5;Self-Inflating
Therm-a-Rest Ridegrest Classic;2,0;14,0;0,6;396,9;1,6;Foam
Therm-a-Rest RidgeRest SOLite;2,1;14,0;0,6;396,9;1,6;Foam
Therm-a-Rest NeoAir Topo;2,3;23,0;3,0;652,0;7,6;Inflatable
Therm-a-Rest NeoAir Topo Luxe;3,7;23,0;4,0;652,0;10,2;Inflatable
Therm-a-Rest Trail Lite;3,2;26,0;1,5;737,1;3,8;Self-Inflating
